node1,node2
0,49
1,50
2,48
3,51
4,52
5,49
6,53
7,54
8,55
9,56
10,57
11,58
12,59
13,60
14,57
15,60
16,61
17,45
18,60
19,62
20,60
21,63
22,58
23,50
24,64
25,45
26,46
27,65
28,66
29,67
30,66
31,46
32,47
33,47
34,68
35,47
36,47
37,47
38,69
39,47
40,47
41,49
42,48
43,48
0,44
1,44
2,44
3,44
4,44
5,44
6,44
7,44
8,44
9,44
10,44
11,44
12,44
13,45
14,45
15,45
16,45
17,45
18,45
19,45
20,45
21,45
22,45
23,45
24,45
25,45
26,46
27,46
28,46
29,46
30,46
31,46
32,47
33,47
34,47
35,47
36,47
37,47
38,47
39,47
40,47
41,47
42,48
43,48
48,44
49,44
49,47
50,44
50,45
51,44
52,44
53,44
54,44
55,44
56,44
57,44
57,45
58,44
58,45
59,44
60,45
61,45
62,45
63,45
64,45
65,46
66,46
67,46
68,46
69,46
